[12:28:21 WIB 2026-09-01] === MONITOR XAU V2 MULAI (update 28 Aug: self-lock + guard TF + wick sanity + state persist) ===
[12:28:21 WIB 2026-09-01]   [A] SELL LIMIT SELL entry=4538 SL=4550 TP1=4449 TP2=4370 (waiting)
[12:28:21 WIB 2026-09-01]   [B] BUY LIMIT BUY entry=4400 SL=4355 TP1=4450 TP2=4538 (waiting)
[12:28:21 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4427.18 | PINE=FLAT RSI=39.7
[12:28:21 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4427.18 | PINE=FLAT RSI=39.7
[12:29:01 WIB 2026-09-01] === MONITOR XAU V2 MULAI (update 28 Aug: self-lock + guard TF + wick sanity + state persist) ===
[12:29:01 WIB 2026-09-01]   [A] SELL LIMIT SELL entry=4538 SL=4550 TP1=4449 TP2=4370 (waiting)
[12:29:01 WIB 2026-09-01]   [B] BUY LIMIT BUY entry=4400 SL=4355 TP1=4450 TP2=4538 (waiting)
[12:29:01 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4427.02 | PINE=FLAT RSI=38.9
[12:29:01 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4427.02 | PINE=FLAT RSI=38.9
[12:29:13 WIB 2026-09-01] START DITOLAK: monitor lain hidup (PID 32368) - anti-dobel
[12:29:17 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4426.39 | PINE=FLAT RSI=38.2
[12:29:17 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4426.39 | PINE=FLAT RSI=38.2
[12:30:01 WIB 2026-09-01] GUARD TF: chart tidak di M15 (interval bar 240 mnt) — auto-set M15, siklus ini dilewati
[12:30:17 WIB 2026-09-01] GUARD TF: chart tidak di M15 (interval bar 30 mnt) — auto-set M15, siklus ini dilewati
[12:31:01 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4430.61 | PINE=FLAT RSI=43.2
[12:31:01 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4430.61 | PINE=FLAT RSI=43.2
[12:31:17 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4431.81 | PINE=FLAT RSI=44.8
[12:31:17 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4431.81 | PINE=FLAT RSI=44.8
[12:32:17 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4433.02 | PINE=FLAT RSI=47
[12:32:17 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4433.02 | PINE=FLAT RSI=47
[12:33:17 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4431.79 | PINE=FLAT RSI=46.5
[12:33:17 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4431.79 | PINE=FLAT RSI=46.5
[12:34:17 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4432.53 | PINE=FLAT RSI=44.8
[12:34:17 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4432.53 | PINE=FLAT RSI=44.8
[12:35:17 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4433.95 | PINE=FLAT RSI=47.8
[12:35:17 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4433.95 | PINE=FLAT RSI=47.8
[12:36:17 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4437.18 | PINE=FLAT RSI=49.2
[12:36:17 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4437.18 | PINE=FLAT RSI=49.2
[12:37:17 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4437.01 | PINE=FLAT RSI=49.3
[12:37:17 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4437.01 | PINE=FLAT RSI=49.3
[12:38:17 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4437.05 | PINE=FLAT RSI=49
[12:38:17 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4437.05 | PINE=FLAT RSI=49
[12:39:17 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4440.23 | PINE=FLAT RSI=51.7
[12:39:17 WIB 2026-09-01] [B] BUY LIMIT 4400 belum kena | harga=4440.23 | PINE=FLAT RSI=51.7
[12:40:17 WIB 2026-09-01] GUARD TF: chart tidak di M15 (interval bar 240 mnt) — auto-set M15, siklus ini dilewati
[12:41:18 WIB 2026-09-01] [A] SELL LIMIT 4538 belum kena | harga=4439.67 | PINE=FLAT RSI=51.5
